TenantLastName,TenantFirstName,OtherNames,Landlord,BlaugrundRoster,Women,MMAorSAAM,MMA_Collection,MMA_Num_Works,SAAM_Collection,SAAM_Num_Works,BirthYear,DeathYear,CityDirectoryRegistration,FamilialOrProfessionalTies,Profession,Registered Years Total,ValidatedTenancyAnnualCityorProfessionalDirectories
Ackley,Edith Flack,Mrs. Stow Wengenroth,0,0,1,0,0,0,0,0,1887,1970,1,"Edith Flack Ackley; Stepfather, Stow Wengenroth","Illustrator, Painter",1,1947
Ackley,Telka,n/a,0,0,1,0,0,0,0,0,1918,2005,1,"Stow Wengenroth; Daughter, Telka Ackley","Dollmaker, Author, Teacher",1,1948
Adams,Katherine Langhorne,n/a,2,0,1,0,0,0,0,0,1885,1977,1,n/a,"Painter, Printmaker",1,1915
Barkentin,Mrs. Marjorie,n/a,0,0,1,0,0,0,0,0,1891,1974,1,"William Barkentin; Son, George Barkentin; Daughter-in-Law, Jessica Patton","Restorer, playwright",3,"1953, 1955, 1956"
Bill,Virginia,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,unknown,1,1933
Brown,Mrs. James Francis,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,James Francis Brown,?,1,1920
Carew ,Mrs. Frank,n/a,2,0,1,0,0,0,0,0,n/a,n/a,1,Frank Carew,unknown,1,1919
Chapin,Elsa,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,unknown,4,"1943, 1945, 1946, 1949"
Chesno,Mrs. Frances,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,Frances Chesno,unknown,1,1948
Coney,Rosamund,n/a,2,0,1,0,0,0,0,0,n/a,n/a,1,n/a,Painter,1,1917
Cornell,Gertrude,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,unknown,2,"1942, 1943, 1944"
Crawford,Brenetta Herrman,n/a,2,0,1,0,0,0,0,0,1875,1956,1,Earl Stetson Crawford,Painter,1,1914
DeHaas,Alice Preble Tucker,Alice Preble Tucker,2,0,1,0,0,0,0,0,1859,1920,1,William Merritt Chase; Robert Swain Gifford; Mauritz F. H. DeHaas,Painter,1,1902
Dielman,Mrs. (Marion Lilla Benham) Frederick,Marion Lilla Benham,1,0,1,0,0,0,0,0,n/a,n/a,1,Frederick Dielman,unknown,1,1901
Donahue,Ann,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,Frank R. Donahue,"Designer, (Photographer?)",2,"1946, 1953"
Durkee,Helen Winslow,n/a,2,0,1,1,1,4,0,0,1880,1954,1,William Merritt Chase,Painter,1,1917
Eisner,Dorothy,n/a,0,0,1,1,1,1,0,0,1906,1984,1,n/a,Painter,1,1933
Ellerhusen,Mrs. Florence Cooney,n/a,0,0,1,0,0,0,0,0,?,1950,1,Ulric Ellerhusen,Painter,1,"1931, 1933"
Freeman,Anna Mary,n/a,1,1,1,0,0,0,0,0,1817,1874,0,n/a,"Miniature painter, poet",2,"1859, 1860"
Gerstle,Miriam Alice,Miriam Alice Gerstle Wornum,2,0,1,0,0,0,0,0,1898,1989,1,n/a,Painter,1,1918
Goldwaithe,Anne W.,n/a,0,0,1,1,0,0,1,20,1869,1944,1,n/a,"Painter, printmaker",1,1927
Hagen,Louise,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,unknown,1,1929
Hallock,Sarah H.,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,n/a,,
Hirsh ,Alice,Alice Hirsch,2,0,1,0,0,0,0,0,1888,1935,1,n/a,"Landscape painting, illustration",4,"1917, 1920, 1923, 1925"
Hurst,Joan,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,Jewelry,1,1948
Ivory,Elizabeth,Mrs. P. V. E. Ivory,0,0,1,0,0,0,0,0,1887,n/a,0,"Elizabeth Ivory; Daughter, Elizabeth Ann Ivory",Real estate,1,1920
Ivory,Elizabeth Anne,n/a,0,0,1,0,0,0,0,0,1929,2006,1,"Elizabeth Price Ivory; Father, Percy V. E. Ivory",Commercial art; real estate,1,1953
Jacobs,Leonobel,Mrs. Henry Downning Jacobs,0,0,1,1,1,2,0,0,1883,1967,1,n/a,Painter,3,"1920, 1922, 1923"
Kellogg,Lottie,n/a,1,1,1,0,0,0,0,0,n/a,n/a,0,n/a,unknown,1,1871
Kotz,Mary Whittlesey,Mrs. Daniel Kotz,0,0,1,0,0,0,0,0,1858,1947,1,Mary Whittlesey Kotz,Restorer,1,"1920, 1922, 1925"
Kotz,Eleanor W.,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,Eleanor Whittlesey Kotz,Painter,1,1926
Kryzanowsky,Sari,Sari Pickett,0,0,1,0,0,0,0,0,n/a,n/a,1,William Merritt Chase,Painter,1,1917
Lang,Annie Traquair,n/a,2,0,1,1,1,1,0,0,1885,1918,1,n/a,Sculpture,2,"1915, 1918"
Lewis,Toma H.,n/a,2,0,1,0,0,0,0,0,n/a,n/a,1,n/a,Painter,1,"1937, 1939"
Marron,Eugenie,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,unknown,2,"1942, 1943"
Mathieu Jr.,Mrs. Ruth,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,Sculptor,1,1903
Matthews,Elizabeth St. John,n/a,2,0,1,0,0,0,0,0,1876,1911,1,n/a,Painter,1,1926
Miller,Cicely,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,Artist,1,1933
Miller,Helena W.,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,Painter,1,"1951, 1952"
Mitchell,Joan,n/a,0,0,1,1,1,5,1,4,1925,1992,1,"A. B. Moore, Janitor",Unknown,1,1891
Mulvaney,Gertrude Mrs,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,unknown,1,1933
Niswonger,Ilse,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,Sculpture,1,1937
Patton,Jessica,n/a,0,0,1,0,0,0,0,0,1920,2003,1,"George Barkentin, Daughter-in-Law, William and Marjorie Barkentin",Model,1,1942
Paullin,Ethel Parsons,Mrs. Telford Paullin,0,0,1,0,0,0,0,0,1888,1971,1,n/a,"painter, muralist, designer, printmaker",8,"1942, 1943, 1944, 1946, 1948, 1949, 1952, 1953"
Robertson (Miller),Ellen Bell,"Ellen Miller, Ellen Bell Robertson, Ellen Bell Robertson-Miller",1,1,1,0,0,0,0,0,n/a,n/a,0,William Merritt Chase,"Author, Painter, Designer, Founder Deerfield Society of Blue and White Needlework",1,1889
Scaravaglione,Concetta,n/a,0,0,1,1,0,0,1,2,1900,1975,1,n/a,Sculptor,1,1953
Schapiro,Miriam,Mrs. Paul Brach,0,0,1,1,1,2,1,6,1923,2005,0,Paul Brach,"Painter, sculptor, printmaker",4- Biography,"1952, 1953, 1954, 1955"
Sherwood,Rosina Emmet,n/a,1,1,1,1,0,0,1,1,1854,1948,1,William Merritt Chase,Painter,1,1881
Tait,Agnes,n/a,0,0,1,1,1,5,1,2,1894,1981,1,n/a,"Painter, Illustrator, Dancer",1,1930
Taylor,Zillah,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,Rent manager,1,1953
von Kager,Erica,n/a,0,0,1,0,0,0,0,0,1890,1975,1,n/a,Illustrator of Children's books and Christmas Cards,6,"1942, 1943, 1944, 1945, 1948, 1949"
Wallace,Harriet,n/a,0,0,1,0,0,0,0,0,n/a,n/a,1,n/a,Sculptor,1,1946
Ward,Mrs. Edgar M.,n/a,1,0,1,0,0,0,0,0,n/a,n/a,1,n/a,unknown,2,"1919, 1920"
Wheeler,Dora,n/a,1,1,1,1,1,2,0,0,1856,1940,1,William Merritt Chase,"Painter, Illustrator",1,1881
Winter,Margaret,n/a,1,0,1,0,0,0,0,0,n/a,n/a,1,Philip Winter,"Janitress, Housekeeper",26,"1862, 1863, 1864, 1865, 1866, 1867, 1868, 1869, 1870, 1871, 1872, 1873, 1874, 1875, 1876, 1877, 1878, 1879, 1880, 1881, 1882, 1883, 1884, 1885, 1886"